"","metodologia","mse","accuracy","n","seed"
"392","Ada Lasso",11.586354287981,0.72,766,40
"393","Local prior",12.6734792133689,0.72,1672,40
"394","Non local",13.0555226092501,0.66,1533,40
"395","Lasso mod 10000",11.3869737876326,0.78,541,40
"396","Lasso mod 200",11.6511840009827,0.72,634,40
"397","Lasso mod 100",11.9860090916911,0.66,836,40
"398","Lasso mod 50",12.1100184976033,0.72,1082,40
"399","Naive",12.1613813839369,0.4,200,40
"400","Oracle",11.1094970971599,1,497,40
"401","Lasso",15.9788768128498,0.66,448,41
"402","Ada Lasso",17.3824245474671,0.78,920,41
"403","Local prior",17.7655933769221,0.78,1082,41
"404","Non local",18.5820869385812,0.76,1226,41
"405","Lasso mod 10000",16.0279478016661,0.48,266,41
"406","Lasso mod 200",16.9800835485099,0.74,736,41
"407","Lasso mod 100",17.317227866984,0.76,800,41
"408","Lasso mod 50",17.5923663776741,0.76,968,41
"409","Naive",15.850993724665,0.4,200,41
"410","Oracle",14.413343646253,1,511,41
"411","Lasso",14.3554829600766,0.6,347,42
"412","Ada Lasso",14.2127666668153,0.62,418,42
"413","Local prior",15.3678671614598,0.74,876,42
"414","Non local",16.4011898192829,0.72,968,42
"415","Lasso mod 10000",14.3716241516724,0.52,340,42
"416","Lasso mod 200",14.2787403011404,0.62,448,42
"417","Lasso mod 100",14.9434469186035,0.72,1226,42
"418","Lasso mod 50",14.9434469186035,0.72,1226,42
"419","Naive",15.1042871981281,0.4,200,42
"420","Oracle",13.6985542108068,1,497,42
"421","Lasso",10.6521905552156,0.7,448,43
"422","Ada Lasso",10.8117822783712,0.76,920,43
"423","Local prior",13.4663749293952,0.68,1672,43
"424","Non local",13.4663749293952,0.68,1672,43
"425","Lasso mod 10000",10.6314997811186,0.72,427,43
"426","Lasso mod 200",12.0619262212836,0.62,634,43
"427","Lasso mod 100",13.464431017043,0.56,1415,43
"428","Lasso mod 50",15.8887331383004,0.58,3680,43
"429","Naive",11.4849116463291,0.4,200,43
"430","Oracle",10.380440792873,1,448,43
"431","Lasso",16.4441971535325,0.58,460,44
"432","Ada Lasso",16.9485763485101,0.68,1022,44
"433","Local prior",18.6647988308147,0.66,2300,44
"434","Non local",19.3320238634106,0.66,3680,44
"435","Lasso mod 10000",16.3864625548894,0.56,471,44
"436","Lasso mod 200",17.4641853175338,0.64,968,44
"437","Lasso mod 100",17.4641853175338,0.64,968,44
"438","Lasso mod 50",18.394456507063,0.64,1672,44
"439","Naive",18.0139323042893,0.4,200,44
"440","Oracle",16.1252469343546,1,497,44
"441","Lasso",17.8494045818744,0.74,418,45
"442","Ada Lasso",19.1661441421441,0.76,1150,45
"443","Local prior",20.0113101444291,0.72,1415,45
"444","Non local",20.714796351124,0.68,2300,45
"445","Lasso mod 10000",17.327649624016,0.64,353,45
"446","Lasso mod 200",18.0233935254575,0.7,766,45
"447","Lasso mod 100",18.3056230947565,0.72,836,45
"448","Lasso mod 50",19.8559273517596,0.68,1840,45
"449","Naive",17.9451140139707,0.4,200,45
"450","Oracle",17.4399117878124,1,511,45
"451","Lasso",6.44026544070318,0.68,383,46
"452","Ada Lasso",6.42065511604942,0.74,557,46
"453","Local prior",6.53243095438415,0.74,800,46
"454","Non local",7.17873494487677,0.76,1082,46
"455","Lasso mod 10000",6.64465933601819,0.46,287,46
"456","Lasso mod 200",7.21738651720518,0.66,707,46
"457","Lasso mod 100",7.186724748051,0.66,876,46
"458","Lasso mod 50",7.39488907089297,0.68,1150,46
"459","Naive",6.90908417715227,0.4,200,46
"460","Oracle",6.16190427112645,1,448,46
"461","Lasso",16.3754308447778,0.7,448,47
"462","Ada Lasso",16.9518262511995,0.76,836,47
"463","Local prior",17.3761541962359,0.76,1022,47
"464","Non local",17.5229637593225,0.74,1226,47
"465","Lasso mod 10000",16.6963849826981,0.62,427,47
"466","Lasso mod 200",16.8110815484115,0.62,471,47
"467","Lasso mod 100",16.957116439638,0.64,575,47
"468","Lasso mod 50",17.082165479683,0.68,876,47
"469","Naive",17.0218179478957,0.4,200,47
"470","Oracle",16.220104894894,1,541,47
"471","Lasso",66.4531003735352,0.7,484,48
"472","Ada Lasso",66.2187895839573,0.74,800,48
"473","Local prior",69.9492417656685,0.74,968,48
"474","Non local",73.2153439106412,0.72,1415,48
"475","Lasso mod 10000",66.5534640720576,0.7,575,48
"476","Lasso mod 200",69.7846018563773,0.72,736,48
"477","Lasso mod 100",69.7846018563773,0.72,736,48
"478","Lasso mod 50",69.7846018563773,0.72,736,48
"479","Naive",71.9271310633208,0.4,200,48
"480","Oracle",63.0386471285029,1,471,48
"481","Lasso",40.2088985593876,0.64,800,49
"482","Ada Lasso",40.348534765426,0.62,1415,49
"483","Local prior",43.104498360294,0.64,2300,49
"484","Non local",43.5790913239276,0.62,3066,49
"485","Lasso mod 10000",41.1711199337484,0.54,634,49
"486","Lasso mod 200",40.977788724504,0.56,681,49
"487","Lasso mod 100",40.6937516306883,0.6,1082,49
"488","Lasso mod 50",40.6503648975761,0.6,1226,49
"489","Naive",42.9807891464043,0.4,200,49
"490","Oracle",39.1654875566956,1,525,49
"491","Lasso",41.8514337826181,0.72,360,50
"492","Ada Lasso",41.0462190968568,0.74,497,50
"493","Local prior",47.2933708340449,0.76,1226,50
"494","Non local",45.7119315114051,0.74,1415,50
"495","Lasso mod 10000",41.9848230045952,0.76,427,50
"496","Lasso mod 200",42.1950577303508,0.76,593,50
"497","Lasso mod 100",42.1950577303508,0.76,593,50
"498","Lasso mod 50",45.6246336738341,0.66,1533,50
"499","Naive",44.4738333823763,0.4,200,50
"500","Oracle",40.7445520827423,1,525,50
"501","Lasso",24.7828567760716,0.64,438,51
"502","Ada Lasso",24.8784923877896,0.68,634,51
"503","Local prior",26.0369300850031,0.74,1150,51
"504","Non local",26.0369300850031,0.74,1150,51
"505","Lasso mod 10000",24.9110045199706,0.58,400,51
"506","Lasso mod 200",24.5884451632447,0.62,438,51
"507","Lasso mod 100",25.4369103256236,0.68,1415,51
"508","Lasso mod 50",25.4369103256236,0.68,1415,51
"509","Naive",26.7987733343581,0.4,200,51
"510","Oracle",24.1519212365757,1,557,51
"511","Lasso",19.2051410582799,0.7,511,52
"512","Ada Lasso",19.8547230883416,0.72,1226,52
"513","Local prior",22.9049803981346,0.7,2300,52
"514","Non local",22.9049803981346,0.7,2300,52
"515","Lasso mod 10000",19.9087596878798,0.64,541,52
"516","Lasso mod 200",19.5205037024574,0.68,1022,52
"517","Lasso mod 100",23.973753133335,0.66,2044,52
"518","Lasso mod 50",23.973753133335,0.66,2044,52
"519","Naive",20.5083101289142,0.4,200,52
"520","Oracle",17.2984139377992,1,497,52
"521","Lasso",21.8765764346986,0.68,525,53
"522","Ada Lasso",21.6843360761305,0.74,876,53
"523","Local prior",25.2185491292257,0.64,2300,53
"524","Non local",24.5653844241107,0.68,3066,53
"525","Lasso mod 10000",21.7417033439389,0.6,525,53
"526","Lasso mod 200",21.5574916945844,0.6,707,53
"527","Lasso mod 100",21.5574916945844,0.6,707,53
"528","Lasso mod 50",26.0569490332512,0.58,1314,53
"529","Naive",22.0490197709994,0.4,200,53
"530","Oracle",20.6973199001994,1,497,53
"531","Lasso",14.83328422523,0.68,334,54
"532","Ada Lasso",14.9669161293665,0.64,438,54
"533","Local prior",15.8740777561871,0.72,1150,54
"534","Non local",15.8740777561871,0.72,1150,54
"535","Lasso mod 10000",15.010762366544,0.58,391,54
"536","Lasso mod 200",15.1440867226369,0.64,525,54
